범위,설명,f,p-value
클러스터0(서비스업),"is_risky, sum_new_customer_cnt",7.092461111,0.0078214006
클러스터0(서비스업),"is_risky, sum_purchase_card",2.859602233,0.0910236219
클러스터0(서비스업),"is_risky, sum_purchase_cash",1.711178266,0.1910194128
클러스터0(서비스업),"is_risky, sum_purchase_invoice",0.3727168105,0.5416133063
클러스터0(서비스업),"is_risky, sum_sales_card",49.17076913,0
클러스터0(서비스업),"is_risky, sum_sales_delivery",3.42E-08,0.999852365
클러스터0(서비스업),"is_risky, sum_sales_invoice",12.16807308,0.0004992327
클러스터0(서비스업),"is_risky, sum_weekend_sales_card",41.75307827,1.00E-10
클러스터0(서비스업),"is_risky, sum_weekend_sales_delivery",8.42E-08,0.9997684946
,,,
,,,
,,,
,,,
클러스터0(유통업),"is_risky, age",0.1239937926,0.7248121623
클러스터0(유통업),"is_risky, duration",0.4991043202,0.4800481769
클러스터0(유통업),"is_risky, is_franchise",5.24E-07,0.9994226101
클러스터0(유통업),"is_risky, business_square_size",0.4320191957,0.5111415718
클러스터0(유통업),"is_risky, monthly_rental_fee",0.368273018,0.5440762317
클러스터0(유통업),"is_risky, regular_employees_count",0.085114474,0.7705391891
클러스터0(유통업),"is_risky, rental_deposit",0.91976502,0.3377539375
클러스터0(유통업),"is_risky, sum_customer_cnt",5.058056534,0.0247310973
클러스터0(유통업),"is_risky, sum_new_customer_cnt",4.662992659,0.0310592637
클러스터0(유통업),"is_risky, sum_purchase_card",0.000305915,0.9860486396
클러스터0(유통업),"is_risky, sum_purchase_cash",1.863056657,0.1725601715
클러스터0(유통업),"is_risky, sum_purchase_invoice",1.279907394,0.2581704602
클러스터0(유통업),"is_risky, sum_sales_card",6.098243417,0.013687291
클러스터0(유통업),"is_risky, sum_sales_delivery",5.267814993,0.0219166092
클러스터0(유통업),"is_risky, sum_sales_invoice",0.1050988472,0.7458580918
클러스터0(유통업),"is_risky, sum_weekend_sales_card",5.430724304,0.0199711572
클러스터0(유통업),"is_risky, sum_weekend_sales_delivery",5.440810684,0.0198567522
,,,
,,,
,,,
,,,
클러스터0(외식업),"is_risky, age",1.619255645,0.203229092
클러스터0(외식업),"is_risky, duration",0.5736811384,0.4488200241
클러스터0(외식업),"is_risky, is_franchise",1.906814612,0.1673524504
클러스터0(외식업),"is_risky, business_square_size",6.589278101,0.0102757898
클러스터0(외식업),"is_risky, monthly_rental_fee",18.49315251,0.0000172348
클러스터0(외식업),"is_risky, regular_employees_count",25.81412349,3.84E-07
클러스터0(외식업),"is_risky, rental_deposit",40.33442421,2.00E-10
클러스터0(외식업),"is_risky, sum_customer_cnt",125.2981584,6.93E-29
