상권_코드_명,상권_코드,기준_년_코드,기준_분기_코드,유사_업종_점포_수,개업_율,폐업_율,주중_매출_비율,주말_매출_비율,남성_매출_비율,여성_매출_비율,연령대_1020_매출_비율,연령대_3040_매출_비율,연령대_5060_매출_비율,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액,경영_위기_비율,클러스터
DMC(디지털미디어시티),2120098,2022,1,766,0.0313531353135313,0.0165016501650165,0.8827526220186449,0.117247377981355,0.5324870787708308,0.4675129212291692,0.1668435547194527,0.5832419538213923,0.2499144914591549,72,24,1285,8846.0,318202,3567709.0,0.1509433962264151,3
DMC(디지털미디어시티),2120098,2022,2,768,0.0427631578947368,0.0328947368421052,0.8741082798683759,0.1258917201316241,0.5291332326566285,0.4708667673433715,0.1756759231739057,0.5930123118601104,0.2313117649659838,72,24,1285,8846.0,358782,3567709.0,0.2075471698113207,3
DMC(디지털미디어시티),2120098,2022,3,774,0.0357142857142857,0.0275974025974025,0.8814280909124159,0.118571909087584,0.5269750420647398,0.4730249579352602,0.1849967925536123,0.5871341668181215,0.2278690406282662,72,24,1285,8846.0,352688,3567709.0,0.1428571428571428,3
DMC(디지털미디어시티),2120098,2022,4,778,0.0419354838709677,0.0370967741935483,0.8689802378564203,0.1310197621435797,0.5275002733439289,0.4724997266560711,0.1832742444914397,0.5847060896516656,0.2320196658568946,72,24,1285,8846.0,355095,3567709.0,0.2916666666666667,3
가락시장역,2120234,2022,1,1203,0.0163934426229508,0.0227686703096539,0.7946091310575595,0.2053908689424405,0.5461584578759687,0.4538415421240312,0.1000278677864968,0.3896547844250992,0.510317347788404,62,3,2694,10268.0,1430185,3494644.0,0.2352941176470588,1
가락시장역,2120234,2022,2,1194,0.021062271062271,0.0192307692307692,0.7706871332056039,0.2293128667943961,0.5534323755869005,0.4465676244130995,0.10486812900325,0.4097971022631743,0.4853347687335756,62,3,2694,10268.0,1490392,3494644.0,0.2777777777777778,1
가락시장역,2120234,2022,3,1184,0.0238970588235294,0.0358455882352941,0.7830657400801871,0.2169342599198128,0.590621993033462,0.409378006966538,0.1135096942908759,0.4241917207910331,0.462298584918091,62,3,2694,10268.0,1522873,3494644.0,0.1666666666666666,1
가락시장역,2120234,2022,4,1182,0.0202578268876611,0.0211786372007366,0.76302963347647,0.23697036652353,0.6146096919629224,0.3853903080370776,0.1143299151931038,0.4504777267764134,0.4351923580304828,62,3,2694,10268.0,1613064,3494644.0,0.1111111111111111,1
가로수길,2120186,2022,1,1667,0.0235969387755102,0.0133928571428571,0.6741379878642758,0.3258620121357242,0.4047830373199265,0.5952169626800734,0.3124481584759114,0.4533792966406706,0.2341725448834178,42,3,3152,6518.0,1977135,3602514.0,0.1048387096774193,0
가로수길,2120186,2022,2,1659,0.0243122200895713,0.0236724248240563,0.6717698217647965,0.3282301782352034,0.3833120375593152,0.6166879624406848,0.3046335994601709,0.460945059803895,0.234421340735934,42,3,3152,6518.0,2273038,3602514.0,0.1259842519685039,0
가로수길,2120186,2022,3,1672,0.0278833967046894,0.0183776932826362,0.6987276761050998,0.3012723238949003,0.4211822170229984,0.5788177829770015,0.3023169258678018,0.4623084931787327,0.2353745809534654,42,3,3152,6518.0,2308808,3602514.0,0.1571428571428571,0
가로수길,2120186,2022,4,1692,0.0343106674984404,0.0255770430442919,0.6782401768887952,0.3217598231112047,0.4060422718226608,0.5939577281773392,0.2993873064211667,0.4533635433314258,0.2472491502474075,42,3,3152,6518.0,2278365,3602514.0,0.2333333333333333,0
가산디지털단지,2120131,2022,1,5145,0.0172671072266041,0.0140694947772329,0.7553767407485968,0.2446232592514031,0.5559540024402485,0.4440459975597515,0.1151634554439708,0.5383954568992437,0.3464410876567854,212,85,3865,81100.0,1084018,2632542.0,0.1748878923766816,2
가산디지털단지,2120131,2022,2,5138,0.0194029850746268,0.0164179104477611,0.7730709404575182,0.2269290595424817,0.5637240669517548,0.4362759330482452,0.1122542028139483,0.5140536188113086,0.373692178374743,212,85,3865,81100.0,1142582,2632542.0,0.1486486486486486,2
