상권_코드_명,상권_코드,기준_년_코드,기준_분기_코드,점포_수,유사_업종_점포_수,개업_율,폐업_율,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액,경영_위기_비율
강동구청역,2120242,2022,1,635,694,0.0188976377952755,0.0062992125984251,18950352678,7658409044,13823488167,10482894460,46732025,1708074091,5355422135,5564903954,5971277311,5659973112,44,11,3520,4528.0,1679597,2893980.0,0.2142857142857142
강동구청역,2120242,2022,2,638,694,0.0297805642633228,0.0219435736677116,22825036477,9266883432,17897204366,11631357204,44745020,1955874262,6286652731,7269930925,6128898948,7842459699,44,11,3520,4528.0,1625407,2893980.0,0.2580645161290322
강동구청역,2120242,2022,3,630,685,0.0301587301587301,0.0412698412698412,23893224985,8094659820,18166143287,10972975831,49925679,2204713749,7775246434,5540339573,6537286934,7031161020,44,11,3520,4528.0,1564968,2893980.0,0.2424242424242424
강동구청역,2120242,2022,4,627,681,0.0223285486443381,0.0271132376395534,22880678397,9238522136,15891210297,12920892543,42896440,2087268849,6586458888,6391804895,6929099064,6774574717,44,11,3520,4528.0,1589292,2893980.0,0.21875
강동역 4번(강풀만화거리),2111059,2022,1,494,532,0.0323886639676113,0.0182186234817813,8573174881,4455481576,7300314539,5203950804,36618463,1648337104,2266957581,2180374251,3072682661,3299295284,27,7,11543,819.0,3961743,2678485.0,0.2
강동역 4번(강풀만화거리),2111059,2022,2,504,540,0.0416666666666666,0.0238095238095238,9698275824,4349226253,8170162287,5497961086,33799835,1918522153,2884925552,2298122214,2986433262,3546320362,27,7,11543,819.0,3820521,2678485.0,0.3125
강동역 4번(강풀만화거리),2111059,2022,3,503,538,0.025844930417495,0.0278330019880715,10015575597,4216389837,8407728806,5141659897,31230037,1932474481,2842501438,2458597434,3085787893,3197790710,27,7,11543,819.0,3738076,2678485.0,0.2857142857142857
강동역 4번(강풀만화거리),2111059,2022,4,502,537,0.0239043824701195,0.0258964143426294,9817805880,4707595801,8407258733,5435929924,44432826,1924867512,2934900407,2322258463,3149547639,3467181809,27,7,11543,819.0,3725204,2678485.0,0.4736842105263157
강변역(테크노마트),2120060,2022,1,1104,1161,0.0036231884057971,0.0108695652173913,51908206123,27523923249,37441881920,21369927630,402054625,6140671050,13179029157,15129197620,15267501471,8693355629,27,3,5,3189.0,190884,649133.0,0.2222222222222222
강변역(테크노마트),2120060,2022,2,1099,1157,0.0045495905368516,0.0072793448589626,61209877757,29197298455,40029961230,28406788173,271421273,9127998355,16406626126,18247324349,13979531993,10403847315,27,3,5,3189.0,210182,649133.0,0.2857142857142857
강변역(테크노마트),2120060,2022,3,1085,1141,0.0064516129032258,0.0211981566820276,57639162074,23842444637,36751519073,23276854589,299694266,6681587646,13989245363,16376935750,13712339106,8968571531,27,3,5,3189.0,205829,649133.0,0.1764705882352941
강변역(테크노마트),2120060,2022,4,1078,1134,0.0074211502782931,0.0111317254174397,58225559993,22605856551,32070440557,25507192918,425661283,7796190428,11685105011,14802743779,13675866546,9192066420,27,3,5,3189.0,196986,649133.0,0.25
강서구청,2120122,2022,1,848,944,0.0283018867924528,0.0224056603773584,19931096719,7013084578,14983434695,10429488000,123700707,3811514487,5729029388,5827280744,5124196990,4797131298,65,16,6458,2137.0,1511398,2706710.0,0.1904761904761904
강서구청,2120122,2022,2,862,960,0.0394431554524361,0.019721577726218,23825199413,8485044927,18698174232,11544186449,137887103,5052681658,7690046641,6720912072,5824126165,4816707043,65,16,6458,2137.0,1517697,2706710.0,0.1578947368421052
강서구청,2120122,2022,3,860,957,0.0360465116279069,0.0406976744186046,25315837999,8574455094,20257728879,11786683548,158033479,5418366628,7725337903,6371453136,7003471794,5367749499,65,16,6458,2137.0,1490557,2706710.0,0.15
강서구청,2120122,2022,4,858,954,0.0396270396270396,0.0396270396270396,23498248246,8754087008,18243967500,11899114553,140262127,5130737116,8199682766,6281721573,5684125065,4706553390,65,16,6458,2137.0,1471722,2706710.0,0.1304347826086956
건대입구역(건대),2120053,2022,1,1126,1344,0.0301953818827708,0.0230905861456483,52606955386,21131575279,32076156475,39538280294,2088763000,28252900543,16979145726,10260926699,9482444201,4550256617,85,11,3961,859.0,2453791,2692807.0,0.1621621621621621
건대입구역(건대),2120053,2022,2,1128,1341,0.0239361702127659,0.0203900709219858,66873166689,28847568009,42923257516,50256813963,2452081701,38558255740,21778095459,13512792572,11473247228,5405598793,85,11,3961,859.0,2878442,2692807.0,0.1909090909090909
건대입구역(건대),2120053,2022,3,1121,1334,0.0428189116859946,0.0481712756467439,64770320779,25718622011,39762684340,47524379693,2276047383,35903294337,20500157020,12885168833,10863196037,4859200409,85,11,3961,859.0,2723270,2692807.0,0.1964285714285714
건대입구역(건대),2120053,2022,4,1125,1333,0.0302222222222222,0.032,64115574267,28368758323,40774865335,47783877224,2605430890,35539289813,19850312183,13212277004,11556194601,5795238078,85,11,3961,859.0,2702814,2692807.0,0.1794871794871795
경의선책거리,2110566,2022,1,465,488,0.0365591397849462,0.0129032258064516,8704296216,4393772365,5606264238,6776642417,210519798,3479220046,2939209845,2136711158,2800666238,816579570,24,6,1846,1690.0,1250101,3010858.0,0.1428571428571428
경의선책거리,2110566,2022,2,477,499,0.0482180293501048,0.020964360587002,9363825312,4798786341,6412726024,6878509195,226550497,3967944796,3220844253,2163866743,2936637945,775390991,24,6,1846,1690.0,1320297,3010858.0,0.3684210526315789
경의선책거리,2110566,2022,3,487,509,0.055441478439425,0.0328542094455852,10330797437,4540511227,6664000317,7387806842,261338947,3762548752,3463579860,2753676316,2847363837,963299439,24,6,1846,1690.0,1398311,3010858.0,0.3888888888888889
경의선책거리,2110566,2022,4,488,510,0.0327868852459016,0.0327868852459016,10519996846,4704279295,6625204452,7625829812,309313274,3807653995,2937980419,2741726856,3082940456,1371419275,24,6,1846,1690.0,1414832,3010858.0,0.3125
경희대학교(경희대),2120064,2022,1,330,412,0.0272727272727272,0.0151515151515151,15534432401,4271093194,10017612052,8804245342,315506103,5874059463,3093608868,3055650711,3533125422,2949821265,16,3,761,97.0,887240,3055507.0,0.1111111111111111
경희대학교(경희대),2120064,2022,2,330,414,0.0545454545454545,0.0393939393939393,19868703476,5778316017,12936708272,11227577328,512015067,8204493257,3888834497,3695888603,4248279957,3614774221,16,3,761,97.0,1073300,3055507.0,0.2105263157894736
경희대학교(경희대),2120064,2022,3,331,411,0.0302114803625377,0.039274924471299,19489171158,5187942099,12359267915,10589051346,437150435,8212487472,3680103217,3515053775,3945558406,3157965960,16,3,761,97.0,1039644,3055507.0,0.0952380952380952
경희대학교(경희대),2120064,2022,4,337,413,0.0474777448071216,0.0415430267062314,20809710842,6254570496,13279212719,11936758129,618989551,9181696138,3824356193,3829341369,4481924882,3279662718,16,3,761,97.0,1128089,3055507.0,0.0526315789473684
광화문역,2120003,2022,1,1689,1810,0.0165778567199526,0.0124333925399644,47623361117,9341012756,21079041843,22391815074,90626157,7520570359,13304092543,9870013441,7796202556,4889351831,116,15,3046,44202.0,922310,5510963.0,0.0833333333333333
광화문역,2120003,2022,2,1695,1815,0.0253687315634218,0.0182890855457227,61326365763,12119133048,26658249806,28355445955,162212890,9078585948,16655652550,12940395649,9656040012,6520808727,116,15,3046,44202.0,1099641,5510963.0,0.1311475409836065
광화문역,2120003,2022,3,1702,1824,0.0258519388954171,0.0223266745005875,63436705283,12450340697,27780945079,29536496507,148660158,9415142536,16991932851,13555539989,10224821966,6981344061,116,15,3046,44202.0,1116455,5510963.0,0.081967213114754
광화문역,2120003,2022,4,1712,1837,0.0239485981308411,0.0157710280373831,66153589094,13950042065,28333739116,30307699091,224450067,9681846611,16749625855,13789714992,11028081856,7167718837,116,15,3046,44202.0,1140984,5510963.0,0.1666666666666666
교대역(법원.검찰청),2120173,2022,1,3703,3917,0.0175533351336753,0.0159330272751822,85659499709,14643126293,45015310139,36596207909,301493381,7844851815,16904478637,25373751147,17707564449,13480328217,175,23,5253,18197.0,3712454,5037551.0,0.2093023255813953
교대역(법원.검찰청),2120173,2022,2,3723,3931,0.0204136449100188,0.0112812248186946,100924803462,19896168653,51465010657,45944745825,492161256,10185138801,20016642797,26224238911,22834368264,17657206456,175,23,5253,18197.0,3992040,5037551.0,0.2282608695652173
교대역(법원.검찰청),2120173,2022,3,3712,3916,0.019665948275862,0.0228987068965517,101699794763,17494557457,51093779678,43635569682,574294930,10327518499,19822698398,26169170042,21386413690,16449253825,175,23,5253,18197.0,3988034,5037551.0,0.2427184466019417
교대역(법원.검찰청),2120173,2022,4,3719,3920,0.0209733799408443,0.0190911535358967,97214359384,18261340461,48819976722,41756581282,473312214,10351255851,20626819746,22916524596,20201410604,16007234999,175,23,5253,18197.0,4070847,5037551.0,0.2912621359223301
구로디지털단지,2120129,2022,1,1774,1983,0.0219842164599774,0.0135287485907553,88520834896,6939281327,48387514103,29337044473,105304160,12095667363,17346981228,19837453657,12991660815,15347491391,76,19,8,47750.0,939782,3778166.0,0.1384615384615384
구로디지털단지,2120129,2022,2,1775,1983,0.0225352112676056,0.0157746478873239,134833050811,12990964337,70474333022,51117721365,272451564,24034092256,29964697367,28205307827,16864107550,22251397813,76,19,8,47750.0,1020768,3778166.0,0.2131147540983606
구로디지털단지,2120129,2022,3,1771,1975,0.0186335403726708,0.0242800677583286,143095850283,13869201511,73975881696,57265892578,520969201,32492485586,31410306628,28063303664,16961736732,21792972456,76,19,8,47750.0,998409,3778166.0,0.2686567164179104
구로디지털단지,2120129,2022,4,1773,1979,0.0293288212069937,0.0236886632825719,136856882656,17005677218,70491739296,58015941076,681720248,30275835689,31126437566,31873420666,16567417875,17982848314,76,19,8,47750.0,1006716,3778166.0,0.2253521126760563
구로디지털단지역,2120130,2022,1,645,736,0.0217054263565891,0.0108527131782945,29657981036,9129850909,21434968532,15082608013,156217239,8411883665,10788649019,6436931126,6055130352,4668765138,50,13,2067,1136.0,1232304,2616631.0,0.1904761904761904
구로디지털단지역,2120130,2022,2,646,737,0.0309597523219814,0.0216718266253869,37282461162,12266946587,27030027746,18578120528,200640249,11777922295,14612841036,7992857563,6448248052,4575639072,50,13,2067,1136.0,1340995,2616631.0,0.15
구로디지털단지역,2120130,2022,3,643,732,0.0342146189735614,0.0419906687402799,36682460822,11945242226,26664130947,18679076039,218505382,11945734283,14271883261,7974329750,6652849487,4279904822,50,13,2067,1136.0,1293580,2616631.0,0.0952380952380952
