범위,설명,f,p-value
클러스터0(서비스업),"is_risky, rental_deposit",3.555765608,0.059518936
클러스터0(서비스업),"is_risky, business_square_size",3.062344448,0.080316597
클러스터0(서비스업),"is_risky, sum_purchase_card",2.859602233,0.091023622
클러스터0(서비스업),"is_risky, is_franchise",2.625352077,0.105365127
클러스터0(서비스업),"is_risky, sum_purchase_cash",1.711178266,0.191019413
클러스터0(서비스업),"is_risky, sum_purchase_invoice",0.372716811,0.541613306
클러스터0(서비스업),"is_risky, sum_weekend_sales_delivery",8.42E-08,0.999768495
클러스터0(서비스업),"is_risky, sum_sales_delivery",3.42E-08,0.999852365
,,,
,,,
,,,
,,,
클러스터0(유통업),"is_risky, sum_sales_card",6.098243417,0.013687291
클러스터0(유통업),"is_risky, sum_weekend_sales_delivery",5.440810684,0.019856752
클러스터0(유통업),"is_risky, sum_weekend_sales_card",5.430724304,0.019971157
클러스터0(유통업),"is_risky, sum_sales_delivery",5.267814993,0.021916609
클러스터0(유통업),"is_risky, sum_customer_cnt",5.058056534,0.024731097
클러스터0(유통업),"is_risky, sum_new_customer_cnt",4.662992659,0.031059264
클러스터0(유통업),"is_risky, sum_purchase_cash",1.863056657,0.172560172
클러스터0(유통업),"is_risky, sum_purchase_invoice",1.279907394,0.25817046
클러스터0(유통업),"is_risky, rental_deposit",0.91976502,0.337753938
클러스터0(유통업),"is_risky, duration",0.49910432,0.480048177
클러스터0(유통업),"is_risky, business_square_size",0.432019196,0.511141572
클러스터0(유통업),"is_risky, monthly_rental_fee",0.368273018,0.544076232
클러스터0(유통업),"is_risky, age",0.123993793,0.724812162
클러스터0(유통업),"is_risky, sum_sales_invoice",0.105098847,0.745858092
클러스터0(유통업),"is_risky, regular_employees_count",0.085114474,0.770539189
클러스터0(유통업),"is_risky, sum_purchase_card",0.000305915,0.98604864
클러스터0(유통업),"is_risky, is_franchise",5.24E-07,0.99942261
,,,
,,,
,,,
,,,
클러스터0(외식업),"is_risky, sum_sales_card",346.2789315,7.62E-76
클러스터0(외식업),"is_risky, sum_weekend_sales_card",270.4031896,7.15E-60
클러스터0(외식업),"is_risky, sum_new_customer_cnt",166.9230411,7.80E-38
클러스터0(외식업),"is_risky, sum_customer_cnt",125.2981584,6.93E-29
클러스터0(외식업),"is_risky, rental_deposit",40.33442421,2.00E-10
클러스터0(외식업),"is_risky, regular_employees_count",25.81412349,3.84E-07
클러스터0(외식업),"is_risky, monthly_rental_fee",18.49315251,1.72348E-05
클러스터0(외식업),"is_risky, sum_purchase_invoice",15.60245419,7.87606E-05
클러스터0(외식업),"is_risky, sum_sales_delivery",7.431522932,0.006421742
클러스터0(외식업),"is_risky, sum_purchase_card",7.186642273,0.007358463
클러스터0(외식업),"is_risky, sum_weekend_sales_delivery",6.923530836,0.008521657
클러스터0(외식업),"is_risky, business_square_size",6.589278101,0.01027579
클러스터0(외식업),"is_risky, sum_sales_invoice",3.094075697,0.078612373
클러스터0(외식업),"is_risky, is_franchise",1.906814612,0.16735245
클러스터0(외식업),"is_risky, age",1.619255645,0.203229092
클러스터0(외식업),"is_risky, duration",0.573681138,0.448820024
클러스터0(외식업),"is_risky, sum_purchase_cash",0.230290941,0.631320062
,,,
,,,
,,,
,,,
,,,
클러스터1(전체),"is_risky, sum_weekend_sales_card",178.2991887,4.16E-40
클러스터1(전체),"is_risky, sum_sales_card",173.5826852,4.17E-39
클러스터1(전체),"is_risky, sum_new_customer_cnt",171.8097109,1.03E-38
클러스터1(전체),"is_risky, sum_customer_cnt",34.73645715,4.00E-09
클러스터1(전체),"is_risky, sum_sales_delivery",19.32249394,1.12275E-05
클러스터1(전체),"is_risky, sum_weekend_sales_delivery",18.37198523,1.84515E-05
클러스터1(전체),"is_risky, is_franchise",16.59962924,4.67469E-05
클러스터1(전체),"is_risky, duration",13.24510939,0.000275558
클러스터1(전체),"is_risky, sum_purchase_card",12.18632206,0.000484827
클러스터1(전체),"is_risky, sum_purchase_invoice",9.75004883,0.00180159
클러스터1(전체),"is_risky, age",9.368913161,0.002216584
클러스터1(전체),"is_risky, sum_purchase_cash",4.881606455,0.027181445
클러스터1(전체),"is_risky, sum_sales_invoice",1.32219236,0.250244151
클러스터1(전체),"is_risky, business_square_size",0.541634693,0.461784408
클러스터1(전체),"is_risky, regular_employees_count",0.456007571,0.499521442
클러스터1(전체),"is_risky, rental_deposit",0.237579952,0.625977047
클러스터1(전체),"is_risky, monthly_rental_fee",0.007662832,0.930247078
,,,
,,,
,,,
,,,
클러스터1(서비스업),"is_risky, sum_weekend_sales_card",8.155963603,0.004410756
클러스터1(서비스업),"is_risky, sum_new_customer_cnt",7.727646924,0.005575299
클러스터1(서비스업),"is_risky, is_franchise",3.294613765,0.069907282
