일반_대표자_성별코드,대표자연령대코드,고용근로자수,환산임대료,일반_사업자형태코드,산업중분류코드,일반_창업형태코드,일반_현사업체_직전종사상지위항목코드,창업_비용_총창업비용,창업_비용_본인부담금액,창업_어려움정도_입지선정코드,창업_어려움정도_업종선택코드,창업_어려움정도_자금조달코드,창업_어려움정도_기술확보코드,창업_어려움정도_인력확보코드,창업_어려움정도_행정절차코드,창업_어려움정도_경영방법코드,경영_고객결재방법_현금비율,경영_고객결재방법_카드비율,경영_고객결재방법_간편결제비율,경영_고객결재방법_어음비율,경영_고객결재방법_기타비율,경영_영업이익,경영_전자상거래_매출비율,경영_부채금액
1,20,1,195.0,2,75,1,4,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,78,0,3583
1,20,0,122.0,1,47,1,3,300.0,250.0,4.0,2.0,5.0,3.0,4.0,3.0,2.0,100,0,0,0,0,36,0,100
1,20,0,82.0,1,71,1,3,21.0,21.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,0,100,0,0,0,11,90,20
1,20,2,82.0,1,56,1,3,60.0,30.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,10,90,0,0,0,10,0,60
1,20,2,210.0,1,15,1,3,250.0,25.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,5,95,0,0,0,30,100,36
1,20,2,356.0,1,28,2,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,70,30,0,0,0,25,0,100
1,20,2,118.0,1,10,1,3,80.0,80.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,50,50,0,0,0,32,0,30
1,20,2,174.0,2,30,1,3,50.0,45.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,80,20,0,0,0,15,0,173
1,20,2,0.0,2,47,1,4,100.0,100.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,20,80,0,0,0,-37,0,497
1,20,2,275.0,1,15,2,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,50,50,0,0,0,21,0,30
1,20,2,132.0,1,47,1,4,250.0,250.0,3.0,4.0,5.0,1.0,2.0,2.0,2.0,0,100,0,0,0,60,0,200
1,20,2,0.0,2,45,1,3,50.0,50.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,100,0,0,0,0,-96,0,628
1,20,3,244.0,1,10,1,3,250.0,110.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,50,0,0,50,0,18,0,100
1,20,3,233.0,1,56,3,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,1,99,0,0,0,67,0,10
1,20,3,336.0,1,73,1,3,50.0,50.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,20,80,0,0,0,-44,0,20
1,20,3,378.0,1,25,1,3,256.0,150.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,100,0,0,0,0,66,0,410
1,20,3,53.6,1,75,1,3,3.0,3.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,100,0,0,0,0,-8,0,60
1,20,3,112.0,1,73,1,3,50.0,50.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,100,0,0,0,0,140,0,0
1,20,1,46.0,1,74,1,4,110.0,60.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,100,0,0,0,0,30,0,100
1,20,4,0.0,2,75,1,3,50.0,50.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,100,0,0,0,0,228,0,731
1,20,4,149.0,1,73,1,4,10.0,10.0,2.0,2.0,4.0,3.0,5.0,2.0,3.0,50,50,0,0,0,49,100,60
1,20,4,267.0,1,91,2,4,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,10,90,0,0,0,-20,0,40
1,20,4,204.0,1,10,1,3,90.0,60.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0,10,90,0,0,0,7,0,30
1,20,4,43.2,1,42,1,3,50.0,50.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,55,45,0,0,0,15,0,17
1,20,4,200.0,2,20,1,3,200.0,200.0,1.0,4.0,4.0,5.0,3.0,4.0,4.0,100,0,0,0,0,160,0,80
1,20,8,164.0,1,47,1,3,100.0,100.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,10,80,10,0,0,70,0,0
1,30,0,72.0,1,10,1,3,30.0,20.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,10,90,0,0,0,40,20,203
1,30,0,50.0,1,10,1,3,100.0,50.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,100,0,0,0,0,25,0,100
1,30,0,236.0,1,10,1,3,50.0,50.0,4.0,3.0,5.0,4.0,2.0,4.0,5.0,50,50,0,0,0,9,0,0
