상권_코드_명,기준_년_코드,기준_분기_코드,yearquarter,lease_sole,lease_corp,owner,is_risky_0,is_risky_1,total_stores_count,existing_customers_count,Restaurant,Service,Distribution,Japanese,Korean,Western,Bar,PersonalService,ArtSportsandLeisure-relatedServiceIndustry,BakeryDessert,Cafe,ProfessionalDistribution,HealthcareServiceIndustry,EducationServiceIndustry,Fastfood,average(age),average(duration),average(is_franchise),average(business_square_size),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_weekend_sales_delivery),average(sum_weekend_sales_card),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),경영_위기_비율,클러스터
홍대 걷고싶은 거리,2022,1,2022-1,21.0,0.0,0.0,18.0,3.0,21.0,0.152999989,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1999999851,9.3857142857,0.0,56.3164285386,1.8119047624,0.4285714291,2.5476190504,1.5115000013,1.3585000002,1.9359032385,0.1701370482,2.848306858,0.0749380972,2.7604538056,6.7480407606,0.1892666698,-1.6e-09,0.1428571428571428,0
홍대 걷고싶은 거리,2022,2,2022-2,21.0,0.0,0.0,16.0,5.0,21.0,0.3466666551,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.2000000063,9.385714287,0.0,50.7792857055,1.5928571448,0.4285714297,2.0714285724,3.2094444517,2.8627777815,2.9013839533,0.1324669541,4.5026715669,0.0654523804,5.6743633356,13.575805233,0.2091333313,-9.7e-09,0.238095238095238,0
홍대 걷고싶은 거리,2022,3,2022-3,20.0,0.0,0.0,16.0,4.0,20.0,0.4726666501,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7949999743,9.749999995,0.0,53.9482498547,1.4724999966,0.499499998,2.1249999916,3.7199999976,3.2473333327,3.2654914853,0.2152483013,5.2466347613,0.0495600016,5.5074414917,14.2606814569,0.1832800012,2e-10,0.2,0
홍대 걷고싶은 거리,2022,4,2022-4,18.0,0.0,0.0,15.0,3.0,18.0,0.4958333165,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.1833333343,10.6000000001,0.0,56.3424999967,1.4250000028,0.5550000002,2.250000002,3.9375000052,3.4416666699,3.7385020035,0.206553668,4.6947291765,0.0635388889,5.7048944464,14.3476027811,0.1496833352,1.14e-08,0.1666666666666666,0
홍대 걷고싶은 거리,2023,1,2023-1,15.0,0.0,0.0,10.0,5.0,15.0,0.4044444249,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1200000031,8.500000002,0.0,55.6109999444,1.4899999991,0.6340000003,1.7999999978,3.851111111,3.4466666683,2.2175880586,0.2473714012,7.7449404355,0.0781666675,5.1791866659,14.5982333198,0.213040003,1.8e-09,0.3333333333333333,0
홍대입구역 3번,2022,1,2022-1,9.0,3.0,0.0,9.0,3.0,12.0,0.1724999851,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2249999967,6.4250000028,0.0,75.812500034,2.1500000027,4.1e-09,3.2500000008,2.4766666615,2.3041666657,4.5376314948,0.574168417,6.445773148,-2.6e-09,6.5240910767,15.0020910631,-3.5e-09,-7.6e-09,0.25,0
홍대입구역 3번,2022,2,2022-2,13.0,3.0,0.0,14.0,2.0,16.0,0.2237499916,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8062499943,6.23125,0.0,92.540624955,2.0187499985,-1.8e-09,3.1875000039,3.149374995,2.9256249997,4.5114317411,0.6434557525,7.5407066236,1.5e-09,7.9762999929,18.2022187078,0.0,0.0687500126,0.125,0
홍대입구역 3번,2022,3,2022-3,18.0,3.0,0.0,17.0,4.0,21.0,0.201904756,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5571428632,5.1285714314,0.0,89.3442858105,1.985714288,3.5e-09,3.0000000012,2.6400000045,2.4380952407,4.2134694316,0.5199169525,6.6737904707,2e-10,6.9097000031,16.7599381013,-2e-09,-6.7e-09,0.1904761904761904,0
홍대입구역 3번,2022,4,2022-4,16.0,3.0,0.0,15.0,4.0,19.0,0.1773684113,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5736842181,4.9631578924,0.0,93.6615789385,2.0894736859,3.3e-09,3.1052631598,2.3347368398,2.1573684184,3.4267094216,0.4866202661,6.2696546483,-6e-10,7.051037374,15.7820452563,4e-10,0.0252652713,0.2105263157894736,0
홍대입구역 3번,2023,1,2023-1,15.0,3.0,0.0,14.0,4.0,18.0,0.1433333144,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4166666351,4.8666666657,0.0,96.179999856,2.1499999968,8e-10,3.1666666579,2.0472222178,1.9038888868,3.3432796612,0.4402951692,6.1988288738,5e-10,5.8809222167,14.3130166267,-6e-10,-2e-09,0.2222222222222222,0
홍대입구역(홍대),2022,1,2022-1,426.0,15.0,0.0,360.0,83.0,443.0,1.0865034959,319.0,80.0,44.0,18.0,81.0,33.0,126.0,62.0,18.0,21.0,40.0,44.0,0.0,0.0,0.0,39.1720090292,5.3550790068,0.0609480813,90.5849990958,2.9111450158,1.0272911964,5.2243792324,4.2988111889,3.2123076925,3.8939947585,0.418703912,12.091696463,0.4400036119,5.3965285236,13.3668873947,1.5240767453,1.2614294562,0.1873589164785553,0
홍대입구역(홍대),2022,2,2022-2,420.0,9.0,0.0,347.0,85.0,432.0,1.8840291255,315.0,75.0,42.0,19.0,77.0,31.0,124.0,57.0,18.0,21.0,43.0,42.0,0.0,0.0,0.0,39.2837962962,5.3375000001,0.0555555556,94.0665365757,3.0239750974,1.0578886311,5.3869907409,7.5512135921,5.667184466,4.5847222962,0.560082058,16.2860170797,0.4245875,10.1516840348,24.0538302734,1.35621875,2.3175835953,0.1967592592592592,0
