상권_코드_명,상권_코드,기준_년_코드,기준_분기_코드,유사_업종_점포_수,개업_율,폐업_율,주중_매출_비율,주말_매출_비율,남성_매출_비율,여성_매출_비율,연령대_1020_매출_비율,연령대_3040_매출_비율,연령대_5060_매출_비율,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액,경영_위기_비율
DMC(디지털미디어시티),2120098,2022,1,766,0.0313531353135313,0.0165016501650165,0.8827526220186449,0.11724737798135507,0.5324870787708308,0.4675129212291692,0.16684355471945272,0.5832419538213923,0.24991449145915492,72,24,1285,8846.0,318202,3567709.0,0.1509433962264151
DMC(디지털미디어시티),2120098,2022,2,768,0.0427631578947368,0.0328947368421052,0.8741082798683759,0.1258917201316241,0.5291332326566285,0.4708667673433715,0.17567592317390576,0.5930123118601104,0.23131176496598388,72,24,1285,8846.0,358782,3567709.0,0.2075471698113207
DMC(디지털미디어시티),2120098,2022,3,774,0.0357142857142857,0.0275974025974025,0.8814280909124159,0.11857190908758408,0.5269750420647398,0.4730249579352602,0.18499679255361234,0.5871341668181215,0.2278690406282662,72,24,1285,8846.0,352688,3567709.0,0.1428571428571428
DMC(디지털미디어시티),2120098,2022,4,778,0.0419354838709677,0.0370967741935483,0.8689802378564203,0.1310197621435797,0.5275002733439289,0.4724997266560711,0.18327424449143978,0.5847060896516656,0.23201966585689465,72,24,1285,8846.0,355095,3567709.0,0.2916666666666667
가락시장역,2120234,2022,1,1203,0.0163934426229508,0.0227686703096539,0.7946091310575595,0.2053908689424405,0.5461584578759687,0.45384154212403127,0.10002786778649682,0.38965478442509927,0.510317347788404,62,3,2694,10268.0,1430185,3494644.0,0.2352941176470588
가락시장역,2120234,2022,2,1194,0.021062271062271,0.0192307692307692,0.7706871332056039,0.2293128667943961,0.5534323755869005,0.4465676244130995,0.10486812900325002,0.40979710226317434,0.48533476873357567,62,3,2694,10268.0,1490392,3494644.0,0.2777777777777778
가락시장역,2120234,2022,3,1184,0.0238970588235294,0.0358455882352941,0.7830657400801871,0.21693425991981286,0.590621993033462,0.409378006966538,0.1135096942908759,0.4241917207910331,0.462298584918091,62,3,2694,10268.0,1522873,3494644.0,0.1666666666666666
가락시장역,2120234,2022,4,1182,0.0202578268876611,0.0211786372007366,0.76302963347647,0.23697036652353,0.6146096919629224,0.38539030803707763,0.1143299151931038,0.45047772677641346,0.4351923580304828,62,3,2694,10268.0,1613064,3494644.0,0.1111111111111111
가로수길,2120186,2022,1,1667,0.0235969387755102,0.0133928571428571,0.6741379878642758,0.32586201213572424,0.40478303731992654,0.5952169626800734,0.31244815847591145,0.45337929664067067,0.23417254488341788,42,3,3152,6518.0,1977135,3602514.0,0.1048387096774193
가로수길,2120186,2022,2,1659,0.0243122200895713,0.0236724248240563,0.6717698217647965,0.32823017823520345,0.3833120375593152,0.6166879624406848,0.30463359946017093,0.46094505980389505,0.234421340735934,42,3,3152,6518.0,2273038,3602514.0,0.1259842519685039
가로수길,2120186,2022,3,1672,0.0278833967046894,0.0183776932826362,0.6987276761050998,0.3012723238949003,0.42118221702299846,0.5788177829770015,0.30231692586780184,0.4623084931787327,0.23537458095346545,42,3,3152,6518.0,2308808,3602514.0,0.1571428571428571
가로수길,2120186,2022,4,1692,0.0343106674984404,0.0255770430442919,0.6782401768887952,0.32175982311120477,0.4060422718226608,0.5939577281773392,0.2993873064211667,0.4533635433314258,0.2472491502474075,42,3,3152,6518.0,2278365,3602514.0,0.2333333333333333
가산디지털단지,2120131,2022,1,5145,0.0172671072266041,0.0140694947772329,0.7553767407485968,0.24462325925140319,0.5559540024402485,0.4440459975597515,0.11516345544397089,0.5383954568992437,0.34644108765678544,212,85,3865,81100.0,1084018,2632542.0,0.1748878923766816
가산디지털단지,2120131,2022,2,5138,0.0194029850746268,0.0164179104477611,0.7730709404575182,0.22692905954248174,0.5637240669517548,0.43627593304824525,0.11225420281394836,0.5140536188113086,0.37369217837474306,212,85,3865,81100.0,1142582,2632542.0,0.1486486486486486
가산디지털단지,2120131,2022,3,5136,0.023509296858303,0.0215858089335328,0.8051471010951635,0.19485289890483645,0.5633173393053145,0.4366826606946856,0.12725477364847973,0.545090286491068,0.3276549398604522,212,85,3865,81100.0,1102802,2632542.0,0.1694915254237288
가산디지털단지,2120131,2022,4,5104,0.0195530726256983,0.0268586162440911,0.7598627845986101,0.24013721540138983,0.5639931587047555,0.4360068412952445,0.11554203601278175,0.5231260385981207,0.3613319253890976,212,85,3865,81100.0,1126773,2632542.0,0.1869918699186991
강남구청역,2120203,2022,1,1243,0.0183887915936952,0.0166374781085814,0.8111651338874211,0.18883486611257896,0.47636286477950956,0.5236371352204905,0.15925207246088433,0.5032257487584197,0.33752217878069596,88,10,1522,7726.0,1562580,3950137.0,0.2
강남구청역,2120203,2022,2,1248,0.024411508282476,0.019180470793374,0.8062608724633703,0.19373912753662967,0.4745800654711854,0.5254199345288146,0.15700632837127446,0.5311354503581761,0.31185822127054946,88,10,1522,7726.0,1659264,3950137.0,0.1388888888888889
강남구청역,2120203,2022,3,1246,0.0139616055846422,0.0148342059336823,0.8214628163484292,0.1785371836515708,0.47954762004180174,0.5204523799581983,0.16374329880024896,0.5296852447760939,0.30657145642365713,88,10,1522,7726.0,1603217,3950137.0,0.1818181818181818
강남구청역,2120203,2022,4,1249,0.0252393385552654,0.0217580504786771,0.8128219014045828,0.18717809859541723,0.48123763488021565,0.5187623651197844,0.17060440720593625,0.5193864514251162,0.3100091413689476,88,10,1522,7726.0,1656554,3950137.0,0.1555555555555555
강남역,2120189,2022,1,4838,0.0170998632010943,0.0198358413132694,0.7859414725540937,0.21405852744590628,0.4158594043476533,0.5841405956523467,0.2728305082945226,0.4006103092300263,0.3265591824754511,380,36,5977,72613.0,5944182,4451444.0,0.1551155115511551
