trdar_nm,year,quarter,class_1_name,average(age),average(duration),average(is_franchise),average(business_square_size),average(is_risky),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),average(sum_weekend_sales_card),average(sum_weekend_sales_delivery),cluster
송파나루역 1번(송리단길),2022,1,외식업,41.0636363669,3.1000000028,0.0,159.1554545236,0.0909090909,4.8545454563,3.1372727295,5.9545452769,28.5145454514,23.7781818194,5.531851638,0.1447590934,17.2845431656,46.6746898924,-4.7e-09,3.3e-09,17.8621181821,0.0,0
송파나루역 1번(송리단길),2022,2,외식업,40.424999979,2.9750000032,0.0,178.4099998787,0.0,5.4499999964,3.5533333368,6.1249999666,30.9816666648,26.0425000011,5.9934515815,0.0726270844,22.6998314961,51.2473857918,4.4e-09,4.4e-09,20.8394845764,4.5e-09,0
송파나루역 1번(송리단길),2022,3,외식업,41.4058823401,3.1882352932,0.0,145.9235294378,0.0,4.2411764732,2.9947058828,5.2647059674,22.2499999991,18.5570588228,5.3626045358,0.48398206,15.5383683523,35.4608207001,0.9047117668,2.5e-09,13.8044254107,0.4251647072,0
송파나루역 1번(송리단길),2022,4,외식업,41.9857142936,3.000000002,0.0,144.2028571434,0.0476190476,3.9857142869,3.031904764,5.2142857286,23.2752380966,20.1300000025,5.6372941433,0.3688239541,14.1884741887,38.2646919242,0.6620380958,-1.2e-09,17.0358550059,0.3228047623,0
수서역,2022,1,외식업,42.1500000043,4.5000000016,0.5,63.8187500227,0.0416666667,2.4712500013,1.414166669,2.9999999852,9.3191666691,4.9816666693,3.749512584,0.6137165414,19.3660943022,24.2525917245,8.5822083392,-2.8e-09,3.1374000047,3.1479791691,1
수서역,2022,2,외식업,42.1499999989,4.5000000007,0.5,63.8187500298,0.0833333333,2.4712500006,1.4700000011,3.0000000123,10.154583336,5.7033333346,4.6573945438,0.5634137099,20.7702219983,29.1803991536,6.9749541696,1.2e-09,3.6824666646,2.5685500033,1
수서역,2022,3,외식업,41.4714285644,3.9857142861,0.4285714286,71.3178571352,0.0714285714,3.0289285708,1.4003571441,3.4464286156,9.7803571407,5.6635714274,4.5164065765,0.4603296092,24.6465188194,33.0879392672,6.4984928566,3.1e-09,4.2136214262,2.3487250002,1
수서역,2022,4,외식업,42.6387096825,3.890322582,0.3870967742,75.070322599,0.0,2.8237829698,1.6277419364,3.4999999837,11.5119354841,6.3916129037,3.9719773836,0.4281974204,23.9102515859,38.3683283944,6.5461451616,2.7e-09,5.0363709703,2.1556838721,1
수유역,2022,1,서비스업,39.4241379276,6.1379310346,0.0,77.8007758615,0.1724137931,1.3120689664,1e-10,1.9827586103,0.3703448265,0.2079310348,1.5466016563,0.553690242,1.0519529746,2.0531069001,0.0,2.1e-09,0.636951725,3e-10,2
수유역,2022,1,외식업,41.8446808538,5.2755319153,0.0,82.0606276693,0.1063829787,2.0276595751,0.6021276601,3.3968085234,3.1845161289,2.2060215052,3.9255865336,0.4202286917,12.3688128767,13.2349162803,5.1860255326,0.0117021281,4.7287941497,1.5915968092,2
