상권_코드_명,기준_년_코드,기준_분기_코드,업종_대분류,경영_위기_비율,상권_코드,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액,연령대_1020_매출_비율,연령대_3040_매출_비율,연령대_5060_매출_비율,주중_매출_비율,주말_매출_비율,남성_매출_비율,여성_매출_비율,유사_업종_점포_수,개업률,폐업률
강남구청역,2022,2,외식업,0.1,2120203,88,10,1522,7726.0,1659264,3950137.0,23.0,52.64,25.0,81.18,18.91,51.73,48.36,307,4.66,3.81
강남구청역,2022,2,유통업,0.1875,2120203,88,10,1522,7726.0,1659264,3950137.0,10.82,51.94,37.53,75.0,25.12,54.94,45.06,379,1.95,1.11
강남구청역,2022,3,외식업,0.0,2120203,88,10,1522,7726.0,1603217,3950137.0,22.82,53.73,23.55,83.36,16.82,52.91,47.18,306,2.95,3.38
강남구청역,2022,3,유통업,0.380952381,2120203,88,10,1522,7726.0,1603217,3950137.0,10.24,59.59,30.41,83.59,16.53,46.29,53.71,383,1.93,0.55
강남구청역,2022,4,외식업,0.0416666667,2120203,88,10,1522,7726.0,1656554,3950137.0,24.73,53.0,22.73,80.82,19.27,49.73,50.27,310,5.0,3.33
강남구청역,2022,4,유통업,0.2857142857,2120203,88,10,1522,7726.0,1656554,3950137.0,11.53,53.59,35.12,74.29,25.88,49.12,51.06,389,2.45,0.54
강남역,2022,1,서비스업,0.1685393258,2120189,380,36,5977,72613.0,5944182,4451444.0,24.95,44.25,31.05,80.0,20.15,47.6,52.45,2104,1.6,1.31
강남역,2022,1,외식업,0.1123595506,2120189,380,36,5977,72613.0,5944182,4451444.0,37.09,40.91,22.45,76.64,23.45,49.36,50.82,1301,2.4,3.8
강남역,2022,1,유통업,0.1944444444,2120189,380,36,5977,72613.0,5944182,4451444.0,23.37,46.89,30.11,79.47,20.79,48.74,51.32,1433,1.36,1.66
강남역,2022,2,서비스업,0.1937172775,2120189,380,36,5977,72613.0,6654974,4451444.0,24.38,46.48,29.52,79.1,21.0,49.62,50.52,2104,2.09,1.7
강남역,2022,2,외식업,0.170212766,2120189,380,36,5977,72613.0,6654974,4451444.0,34.82,42.09,23.36,77.0,23.09,51.27,48.73,1302,4.29,3.59
강남역,2022,2,유통업,0.3714285714,2120189,380,36,5977,72613.0,6654974,4451444.0,22.63,40.74,37.05,81.0,19.05,46.0,54.11,1438,1.72,0.6
강남역,2022,3,서비스업,0.2794117647,2120189,380,36,5977,72613.0,6620213,4451444.0,24.95,47.38,28.0,80.24,19.81,49.33,50.67,2108,1.65,1.45
강남역,2022,3,외식업,0.2181818182,2120189,380,36,5977,72613.0,6620213,4451444.0,36.36,49.0,15.27,77.45,22.64,48.27,51.91,1302,4.76,4.66
강남역,2022,3,유통업,0.2058823529,2120189,380,36,5977,72613.0,6620213,4451444.0,30.05,45.63,24.79,79.11,20.95,46.79,53.37,1430,1.58,1.96
강남역,2022,4,서비스업,0.2829268293,2120189,380,36,5977,72613.0,6559339,4451444.0,23.67,50.38,26.24,78.33,21.71,54.0,46.0,2107,1.79,1.84
강남역,2022,4,외식업,0.125,2120189,380,36,5977,72613.0,6559339,4451444.0,34.45,44.09,21.45,76.09,23.91,48.45,51.64,1308,4.11,3.52
강남역,2022,4,유통업,0.2777777778,2120189,380,36,5977,72613.0,6559339,4451444.0,25.79,43.21,31.21,80.47,19.68,51.68,48.42,1428,1.51,1.21
강동구청역,2022,1,외식업,0.2142857143,2120242,44,11,3520,4528.0,1679597,2893980.0,14.7,51.4,34.0,72.1,28.1,56.9,43.1,240,4.95,1.49
강동구청역,2022,2,외식업,0.2580645161,2120242,44,11,3520,4528.0,1625407,2893980.0,14.8,52.7,32.5,69.0,31.0,56.2,43.8,237,4.46,3.96
강동구청역,2022,3,외식업,0.2424242424,2120242,44,11,3520,4528.0,1564968,2893980.0,13.8,52.5,34.1,73.3,26.8,58.7,41.4,235,7.0,7.5
