trdar_nm,year,quarter,class_2_name,average(age),average(duration),average(is_franchise),average(business_square_size),average(is_risky),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),average(sum_weekend_sales_card),average(sum_weekend_sales_delivery)
DMC(디지털미디어시티),2022,1,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,1,교육서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,전문유통,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,2,베이커리/디저트,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,2,술집,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,1,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,술집,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,패스트푸드,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,카페,41.3636363643,5.7181818186,0.2727272727,39.4121636326,0.1212121212,2.1300000003,0.7324242433,4.4545454542,33.0981818194,8.120000001,3.9897601227,0.5516987586,9.9214854019,17.3651218594,0.4974454549,3.3e-09,1.5859284866,0.1384606064
DMC(디지털미디어시티),2022,3,일식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,양식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,2,양식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,베이커리/디저트,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,교육서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,3,개인 서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,2,전문유통,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,2,한식,48.0400000052,4.9200000012,0.0,42.3200000092,0.4,1.5619999985,0.5340000015,2.0999999997,5.5092857139,2.1435714281,3.0178490045,0.3087295347,5.4606784619,7.7801333227,1.301833334,0.2968840051,0.0410333317,0.1266666681
DMC(디지털미디어시티),2022,2,패스트푸드,,,,,,,,,,,,,,,,,,
